conj_id	word	hint	level	file	idx
cj001	क्षमा	kṣamā	1	conj/words/cj001_01.mp3	1
cj001	अक्षरम्	akṣaram	1	conj/words/cj001_02.mp3	2
cj001	क्षेत्रम्	kṣetram	2	conj/words/cj001_03.mp3	3
cj002	मित्रम्	mitram	1	conj/words/cj002_01.mp3	1
cj002	पुत्रः	putraḥ	1	conj/words/cj002_02.mp3	2
cj002	त्रयः	trayaḥ	2	conj/words/cj002_03.mp3	3
cj003	ज्ञानम्	jñānam	1	conj/words/cj003_01.mp3	1
cj003	अज्ञानम्	ajñānam	2	conj/words/cj003_02.mp3	2
cj003	प्रज्ञा	prajñā	3	conj/words/cj003_03.mp3	3
cj004	श्रवणम्	śravaṇam	1	conj/words/cj004_01.mp3	1
cj004	श्रीः	śrīḥ	1	conj/words/cj004_02.mp3	2
cj004	श्रद्धा	śraddhā	3	conj/words/cj004_03.mp3	3
cj005	विद्या	vidyā	1	conj/words/cj005_01.mp3	1
cj005	अद्य	adya	1	conj/words/cj005_02.mp3	2
cj005	द्युतिः	dyutiḥ	3	conj/words/cj005_03.mp3	3
cj006	भक्तः	bhaktaḥ	1	conj/words/cj006_01.mp3	1
cj006	शक्तिः	śaktiḥ	2	conj/words/cj006_02.mp3	2
cj006	युक्तम्	yuktam	2	conj/words/cj006_03.mp3	3
cj007	पद्मम्	padmam	1	conj/words/cj007_01.mp3	1
cj007	पद्मा	padmā	2	conj/words/cj007_02.mp3	2
cj007	सद्म	sadma	3	conj/words/cj007_03.mp3	3
cj008	गृह्यम्	gṛhyam	3	conj/words/cj008_01.mp3	1
cj008	ह्यः	hyaḥ	4	conj/words/cj008_02.mp3	2
cj008	ह्यस्तनम्	hyastanam	4	conj/words/cj008_03.mp3	3
cj009	क्रमः	kramaḥ	1	conj/words/cj009_01.mp3	1
cj009	क्रिया	kriyā	2	conj/words/cj009_02.mp3	2
cj010	ग्रामः	grāmaḥ	1	conj/words/cj010_01.mp3	1
cj010	ग्रहः	grahaḥ	2	conj/words/cj010_02.mp3	2
cj011	प्रथमः	prathamaḥ	1	conj/words/cj011_01.mp3	1
cj011	प्रकाशः	prakāśaḥ	2	conj/words/cj011_02.mp3	2
