id	word	hint	level	file
001	एकम्	ekam	2	word_001.mp3
002	खगः	khagaḥ	2	word_002.mp3
003	खादति	khādati	1	word_003.mp3
004	पिबति	pibati	1	word_004.mp3
005	नमति	namati	1	word_005.mp3
006	करोति	karoti	1	word_006.mp3
007	गदः	gadaḥ	2	word_007.mp3
008	गणकः	gaṇakaḥ	2	word_008.mp3
009	दशमः	daśamaḥ	2	word_009.mp3
010	कनकम्	kanakam	2	word_010.mp3
011	चणकः	caṇakaḥ	2	word_011.mp3
012	चमसः	camasaḥ	2	word_012.mp3
013	घन	ghana	1	word_013.mp3
014	कफः	kaphaḥ	2	word_014.mp3
015	अजः	ajaḥ	2	word_015.mp3
016	खजः	khajaḥ	2	word_016.mp3
017	गमनम्	gamanam	2	word_017.mp3
018	पठनम्	paṭhanam	2	word_018.mp3
019	छदः	chadaḥ	2	word_019.mp3
020	चरणौ	caraṇau	1	word_020.mp3
021	कमर	kamara	1	word_021.mp3
022	जगतः	jagataḥ	2	word_022.mp3
023	कमठः	kamaṭhaḥ	2	word_023.mp3
024	चयनम्	cayanam	2	word_024.mp3
025	जनकः	janakaḥ	2	word_025.mp3
026	जगदः	jagadaḥ	2	word_026.mp3
027	जघनम्	jaghanam	2	word_027.mp3
028	जलम्	jalam	2	word_028.mp3
029	जठरम्	jaṭharam	2	word_029.mp3
030	जयः	jayaḥ	2	word_030.mp3
031	मथनम्	mathanam	2	word_031.mp3
032	मदनः	madanaḥ	2	word_032.mp3
033	अभवम्	abhavam	2	word_033.mp3
034	नदी	nadī	1	word_034.mp3
035	नौका	naukā	1	word_035.mp3
036	नलः	nalaḥ	2	word_036.mp3
037	करणम्	karaṇam	2	word_037.mp3
038	पवनः	pavanaḥ	2	word_038.mp3
039	रथः	rathaḥ	2	word_039.mp3
040	यानम्	yānam	2	word_040.mp3
041	दलम्	dalam	2	word_041.mp3
042	शतकम्	śatakam	2	word_042.mp3
043	बलम्	balam	2	word_043.mp3
044	आगतः	āgataḥ	2	word_044.mp3
045	खादितः	khāditaḥ	2	word_045.mp3
046	उदरम्	udaram	2	word_046.mp3
047	सः	saḥ	2	word_047.mp3
048	यः	yaḥ	2	word_048.mp3
049	कः	kaḥ	2	word_049.mp3
050	किम्	kim	2	word_050.mp3
051	का	kā	1	word_051.mp3
052	अमरः	amaraḥ	2	word_052.mp3
053	अपरः	aparaḥ	2	word_053.mp3
054	कणशः	kaṇaśaḥ	2	word_054.mp3
055	करभः	karabhaḥ	2	word_055.mp3
056	सैनिकः	sainikaḥ	2	word_056.mp3
057	नायकः	nāyakaḥ	2	word_057.mp3
058	बालकः	bālakaḥ	2	word_058.mp3
059	तपः	tapaḥ	2	word_059.mp3
060	तवकः	tavakaḥ	2	word_060.mp3
061	दमनकः	damanakaḥ	2	word_061.mp3
062	दरः	daraḥ	2	word_062.mp3
063	दशक	daśaka	1	word_063.mp3
064	पतनम्	patanam	2	word_064.mp3
065	घटः	ghaṭaḥ	2	word_065.mp3
066	पीवरः	pīvaraḥ	2	word_066.mp3
067	धीवरः	dhīvaraḥ	2	word_067.mp3
068	पिनाकी	pinākī	1	word_068.mp3
069	रामः	rāmaḥ	2	word_069.mp3
070	सीता	sītā	1	word_070.mp3
071	भरतः	bharataḥ	2	word_071.mp3
072	नवो	navo	1	word_072.mp3
073	सुधा	sudhā	1	word_073.mp3
074	नखः	nakhaḥ	2	word_074.mp3
075	गुरु	guru	1	word_075.mp3
076	पितुः	pituḥ	2	word_076.mp3
077	मातुः	mātuḥ	2	word_077.mp3
078	मीनः	mīnaḥ	2	word_078.mp3
079	लवणम्	lavaṇam	2	word_079.mp3
080	नीवार	nīvāra	1	word_080.mp3
081	सूकरः	sūkaraḥ	2	word_081.mp3
082	कीटः	kīṭaḥ	2	word_082.mp3
083	कोपः	kopaḥ	2	word_083.mp3
084	गोपालः	gopālaḥ	2	word_084.mp3
085	गोपी	gopī	1	word_085.mp3
086	गोपिका	gopikā	1	word_086.mp3
087	राधिका	rādhikā	1	word_087.mp3
088	रेवती	revatī	1	word_088.mp3
089	हवनम्	havanam	2	word_089.mp3
090	हलः	halaḥ	2	word_090.mp3
091	हरणम्	haraṇam	2	word_091.mp3
092	शौनकः	śaunakaḥ	2	word_092.mp3
093	तापः	tāpaḥ	2	word_093.mp3
094	कोटि	koṭi	1	word_094.mp3
095	वनम्	vanam	2	word_095.mp3
096	वारण	vāraṇa	1	word_096.mp3
097	कुलपतिः	kulapatiḥ	2	word_097.mp3
098	कूपम्	kūpam	2	word_098.mp3
099	कैटभः	kaiṭabhaḥ	2	word_099.mp3
100	मधु	madhu	1	word_100.mp3
101	माधवः	mādhavaḥ	2	word_101.mp3
102	फलम्	phalam	2	word_102.mp3
103	झषः	jhaṣaḥ	2	word_103.mp3
104	कटकम्	kaṭakam	2	word_104.mp3
105	डमरुः	ḍamaruḥ	2	word_105.mp3
106	यशोदा	yaśodā	1	word_106.mp3
107	यवनः	yavanaḥ	2	word_107.mp3
108	हतकः	hatakaḥ	2	word_108.mp3
109	हलायुधः	halāyudhaḥ	2	word_109.mp3
110	मापिका	māpikā	1	word_110.mp3
111	पेटिका	peṭikā	1	word_111.mp3
112	केतकी	ketakī	1	word_112.mp3
113	सविता	savitā	1	word_113.mp3
114	सनातन	sanātana	1	word_114.mp3
115	बालौ	bālau	1	word_115.mp3
116	बालिका	bālikā	1	word_116.mp3
117	नासिका	nāsikā	1	word_117.mp3
118	फेनकम्	phenakam	2	word_118.mp3
119	कोविदः	kovidaḥ	2	word_119.mp3
120	पुरुषः	puruṣaḥ	2	word_120.mp3
121	कापुरुषः	kāpuruṣaḥ	2	word_121.mp3
122	कौतुकम्	kautukam	2	word_122.mp3
123	कुतुहलम्	kutuhalam	2	word_123.mp3
124	कौमोदकी	kaumodakī	1	word_124.mp3
125	खादति	khādati	1	word_125.mp3
126	जवनिका	javanikā	1	word_126.mp3
127	जननी	jananī	1	word_127.mp3
128	धवलः	dhavalaḥ	2	word_128.mp3
129	धूसरः	dhūsaraḥ	2	word_129.mp3
130	मौनी	maunī	2	word_130.mp3
131	मरकत	marakata	1	word_131.mp3
132	पाठयतः	pāṭhayataḥ	2	word_132.mp3
